,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
Caremean,,,0.08424230848234857,0.08986533254152003,0.09656118020503208,0.09701356689162641,0.0939179302894574,0.08843971887625818,0.08116477168836486,0.08746654917509983,0.08942692482010005,0.08554507272445488,0.10375269003952255,0.08270884614886169,0.08542037777719422,0.08427911416846909,0.09697285388895616,0.09992034056513378,0.08758465052718811,0.09229568874046712,0.08166772806560253,0.09391418588696454,0.08974673267561271,0.08797448926761159,0.08837446507819763,0.08859233871930852,0.0845357374088026,0.0931386389626469,0.09273560638271112,0.09168374244693549,0.09516362843029447,0.08894193259097993,0.0909439876454627,0.09164122043784827,0.09688068590291458,0.1076693693076344,0.10402778734847648,0.1020045761736623,0.10309674918831015,0.09984049292575718,0.0981142370450599,0.09856739109429563,0.10238419096247377,0.09835891925462277,0.09292291371295629,0.09809752004571934,0.0914331736229261,0.09168167083511229,0.09860954807618336,0.08342431887562544,0.09327990388354544,0.09998517438882089,0.1026851289072536,0.09534428830242728,0.09391827984832625,0.09542863596087835,0.09293682261073294,0.08401570158150663,0.08517116491860066,0.08711201073528708,0.07546731484206268,0.08126694819152959,0.08677721802043709,0.08939398342916896,0.08321933216771753,0.08790721176370517,0.087768340456938,0.08873588379645966,0.09201594792400324,0.08583818364340125,0.0876594528613903,0.10118548912495745,0.08498086238181461,0.08880267624910677,0.08853507522752149,0.09016309542113467,0.09517827912220525,0.09179342813683984,0.08522624847238944,0.10156616265751339,0.09628553215438458,0.0905435188322581,0.08732786773231654,0.08787650549310991,0.08397519029829578,0.0684736457701207,0.08137509208532524,0.09161416145339023,0.09134839162504725,0.09707633375104326,0.08805649909762778,0.08911184217279954,0.09184306987821467,0.09538482175705228,0.10695232735850498,0.10045618826026086,0.09597366755665007,0.09179822266883648,0.09545124769578342,0.09963317767108394,0.08982719768935875,0.09297991705645488,0.08837991589426954,0.08714519026673097,0.09186487158202523,0.08823743901045997,0.0996666383589318
Carese,,,0.002995346716934666,0.003086398762941115,0.003426613955609958,0.003886010254124343,0.0032232811434591245,0.003547922076553882,0.00363780742715668,0.0029782027800915436,0.0037016532808647157,0.003528140991116222,0.003697187466250288,0.003569176879623005,0.004288278829518464,0.0037326434194046134,0.005990863169582966,0.003668702082502401,0.0036660104575388076,0.004273194187764268,0.003689148702054243,0.0034384294600580075,0.0031360562750246705,0.003361366114670591,0.004106780926166341,0.004356075991736785,0.003801858754788767,0.004104245371406801,0.0027671915140113574,0.00336299533683551,0.0030780952627022383,0.0029862870196806697,0.0030279551920930157,0.003102271684833015,0.0028284859489135093,0.0029805233096814004,0.0024926910945298536,0.003256036718015418,0.0026825560177135264,0.003192280255801951,0.0032986570020510325,0.003188363336790026,0.0036644142713246047,0.0035913920695981277,0.003484887744891614,0.003163758642841937,0.003859549954474693,0.0033281208143415906,0.003449686603117319,0.002961393768485143,0.0026624106498509114,0.002952631654902599,0.0022763756139029165,0.0028579914464659595,0.0027136030047875902,0.00292265301883273,0.003022309572121052,0.0022909190649773024,0.002111538008165757,0.0020192822563424024,0.0037044463582711225,0.003724578160127469,0.003148842180891616,0.00325460912858292,0.0038215673724217424,0.0035975810430214842,0.004012903742246938,0.0036554662291592398,0.0034462749571079997,0.0032811142128456937,0.003875171580620443,0.003540085850464181,0.0035800663175668385,0.0036041019687114515,0.0031823297289648037,0.0036047825771786416,0.002911643651316225,0.0037352490343537373,0.003158760151286748,0.004903929199017828,0.004277840754071571,0.0036938340626847454,0.003698024115761632,0.003775027566782784,0.004106906304293734,0.004543175462629348,0.0035411086197680327,0.0032856619309749573,0.003965942347363888,0.00390848790152192,0.0037962658690402686,0.003975735884540912,0.004024754798108096,0.003472700138600306,0.004528081925078566,0.0046930958130870625,0.004707959123096581,0.005319265704780308,0.004394802139293172,0.0038463506305975647,0.005100251390660393,0.004597359950692996,0.004468792596504935,0.004119884939374275,0.0038583330886116803,0.003924054858023312,0.003697255839743443
Fairnessmean,,,0.07591772461473822,0.0740015784470116,0.07534863219185128,0.05852749377529473,0.07041583632971186,0.07755678728744082,0.06591484012079785,0.07198890816695058,0.07091435235549312,0.06040858296876073,0.06961765089240507,0.06697239757258966,0.07525820935010913,0.08140611432602173,0.08057458798159522,0.06696622618058658,0.0610256245693482,0.06448165923085786,0.07467617702240822,0.06966238178559114,0.07296380969431471,0.07695713831137709,0.0683318426187309,0.061133955671603665,0.07105733278017234,0.0750679161135178,0.0811136966093602,0.08596759347423902,0.07713506224878847,0.08244205933227519,0.09983400758165767,0.08591039149453729,0.08169976789592283,0.07083576465046754,0.08087763590590717,0.07616442922118632,0.08559316204571706,0.08174639832950242,0.08422685023257888,0.082286377994721,0.08614301191536794,0.07897610875863455,0.0887039051309821,0.08985388461710914,0.08402807222360377,0.07401462214884469,0.08781744788279854,0.08800714571492312,0.08414891669410147,0.07986886221965016,0.08749359821592581,0.0795467748288656,0.07744590173489171,0.07690907563447669,0.07970804980284567,0.07068501350081291,0.07375499951826946,0.06863934319049511,0.07215887680986459,0.07751736440093598,0.06941183929325821,0.06789407971702785,0.07792243035909775,0.0742621686260229,0.06570949644448278,0.06465954262618864,0.06072025378422441,0.06492287884381485,0.0699683595446154,0.0753776015075803,0.069431943988853,0.07611397939535337,0.07021746947238698,0.07219332596234079,0.07827636868899432,0.08192335185707446,0.06522153801401652,0.07509100315026074,0.06737790157076247,0.06314972030995573,0.06926440357607085,0.07779370089882447,0.07546689163733844,0.0648942098196708,0.07429022699294453,0.08006543449009855,0.08481354725063396,0.06493129882233308,0.0611624595430836,0.07472590596846182,0.08066247360532232,0.06705009782954645,0.0663529453683336,0.07549692552011594,0.07310190022169323,0.0674382017193797,0.08596486599509044,0.08224440191710122,0.08014122994768659,0.08594517410411459,0.0774887257971831,0.07441208752835607,0.06365009679992728,0.06841707067057964,0.06749048990778578
Fairnessse,,,0.0029765620117916604,0.0028804727213446444,0.0031695689377746602,0.003071110975117916,0.003228722279757119,0.0032571329683093444,0.0033979800084097188,0.002903874112994571,0.0034865765346896037,0.0034019095981800535,0.0033456964597060692,0.003371256850549174,0.0038209526666957943,0.003793952633602243,0.004890432001449405,0.0032880406481226652,0.0034493138343237935,0.003947779345211354,0.0037632319563849254,0.0033543661131307605,0.0031224019927066074,0.0031665735587033516,0.003952599242934767,0.004432383388893048,0.003674661918809822,0.0036633381025632326,0.0024773939102882316,0.002866629792256835,0.0027601685535931296,0.003151049585874949,0.003439277802510554,0.002828042183668184,0.0025427782990353255,0.0027601824128463156,0.0024059954255826735,0.002899327836275755,0.0027497931980551556,0.00300714405548185,0.0032178726147342723,0.00315386290035258,0.003179284636277701,0.003210185673322955,0.0032577450873738805,0.0028672988377544317,0.0032945730533438236,0.003233555578989097,0.003056374407106199,0.0026743124706277476,0.0025422009948014635,0.002680663154561633,0.0021191576363805056,0.0027417241156596937,0.002548523799601367,0.0028059649686519787,0.002831086970525558,0.0021888768044540275,0.0020055139802595025,0.0021581688440420635,0.0032413079668991694,0.0034392444775848095,0.0031017815608649535,0.003139930141965883,0.003757839846859024,0.0038022497329729212,0.003917335136419113,0.003530617280080327,0.0034991803785902557,0.0032612880501940653,0.0037693962916529196,0.00362680082435474,0.003661423754826514,0.0037978802651616904,0.003416903889655658,0.0036164091450832264,0.0027787354076204184,0.00314585930784729,0.0032566305427893356,0.004342617564474616,0.004853979585081178,0.0037079067167105394,0.0037239810769414128,0.003731227914323434,0.0036620403389608903,0.0046084791136405704,0.003393062336948131,0.0031341273981373534,0.004227856526259608,0.003732281979575278,0.003768982767142934,0.00406787444023862,0.004865317749167812,0.0037257417773453264,0.004274542206661657,0.004960856701145613,0.004262650667137391,0.005385455324658533,0.004367107252438335,0.0037926607943942776,0.005454400507405254,0.0040925935212690525,0.004331003111974612,0.004059022462373057,0.0035746915497470782,0.004132143601027424,0.00366611077828587
Ingroupmean,,,0.10654477478719526,0.10301822155815181,0.11526630368206503,0.11279749046973432,0.11119129110868514,0.10915818431390742,0.0981803337455614,0.1039008340811506,0.10240164233102594,0.09328089543728438,0.11424047117273914,0.0979999998979994,0.09459377958098465,0.10836918602739434,0.11029814582271268,0.11024741393819419,0.09784163606277375,0.10569180639306812,0.10356425176072581,0.0970100336029531,0.09747072736607014,0.08890202436859224,0.0986268724978538,0.09847108347275409,0.10250204207470617,0.11177513155919747,0.11269387496106777,0.11544669151733798,0.10927453714374182,0.10847712472558897,0.10862505892616131,0.1094763677924602,0.11184723669822262,0.09173912017365853,0.10720300129051528,0.10505845314221353,0.11156088313832793,0.11636305823405751,0.11468701525287053,0.10490331205809605,0.11177399973960316,0.11062503112263865,0.104830682626794,0.11090575705005891,0.10996310952668507,0.10825568723527963,0.11900438521567287,0.10848639157579947,0.10659322850429581,0.1068392589923498,0.12449263998126775,0.11325799141877957,0.10717920831203888,0.10607364321705692,0.11257724061440222,0.10347310729358633,0.10696292300639731,0.09385070845745042,0.09871733714728935,0.10778913780018252,0.10599944384387296,0.09784438391497348,0.09858590746259518,0.10751855237246391,0.09599643074491021,0.10150672047358396,0.10706723452644612,0.11132796489000829,0.10298706972608247,0.09459524773161507,0.10612126785876612,0.11002237658701138,0.11110059851521772,0.1059200961205123,0.10853363421445618,0.11411226093483758,0.10242438153840297,0.11653474169487993,0.10277956075053556,0.10329986342512336,0.0967040363288346,0.08295097211964599,0.09122395268954277,0.08220773192033112,0.10003869477672658,0.10385185045558175,0.10839224035521189,0.10974725675975788,0.10522212514533752,0.10996352469123177,0.10375298624710837,0.11481020598573072,0.11529394220851441,0.1018373632897381,0.10773232939035442,0.10900792196462736,0.11217134766552617,0.12337453154954006,0.10289820635489659,0.10616817416809135,0.10296761374867526,0.10142122632796033,0.09978183744567704,0.0899566307676078,0.11030205344832579
Ingroupse,,,0.0026430651251937143,0.0029768324035115107,0.0030709720261949554,0.003114521060562737,0.0030265910561644116,0.0033004246760965283,0.003066389457195501,0.0026897300516472477,0.0034828155226738562,0.0028937226955997072,0.0031975978095169577,0.0034289514967382096,0.004001389767239244,0.0039293786925458955,0.004511749514472603,0.003190681616652426,0.0034265054188952902,0.003753140527678821,0.003573618907771465,0.0032462154598439865,0.0030527046861447173,0.003118563067953647,0.004253311621778444,0.004121283323817925,0.0035695700382454565,0.003533525086679909,0.0028114265162266575,0.0034367475222417767,0.003011702036146191,0.003193697336926646,0.0034506915123572006,0.0031331568804733602,0.0027010946252571874,0.002763263294268697,0.0026316255429789655,0.0035124012822435255,0.002927143351415398,0.0030215386711598432,0.0033959156725650416,0.003194771353072026,0.0037332834590655885,0.0034965253878740344,0.003360229968108397,0.0032349645997728988,0.0037456665572544283,0.003299345269572481,0.0034626856893408713,0.0031546925742551037,0.002455518152788623,0.002631411550769535,0.002345309698699052,0.002993165093699832,0.0027063942277803584,0.0029706905559956395,0.0029256844067406243,0.002190832397445028,0.0020826039529162773,0.0022471294242621936,0.0035215016454290446,0.003621799884791267,0.0030465206297468133,0.0030475410575663635,0.003470132047719206,0.003778452512942837,0.003759966260787875,0.0033987535037724886,0.003284895330636279,0.003174257230358053,0.0036086522455606243,0.0034446292185698166,0.003450206618863214,0.003609200454239224,0.003136434204237915,0.003611266871575814,0.0028784032994704236,0.0032174611665593037,0.0028696578967838766,0.004313968060360544,0.004635682222011427,0.003945740193387278,0.0039458810962781435,0.003747227632024997,0.004263165083714046,0.0046940224646964505,0.003853035523462319,0.0031236067943668767,0.003770079772531543,0.0035878157083126644,0.003471760092142823,0.003789198023623859,0.003926724500153638,0.0037560602643120157,0.004076948799961656,0.004850014002630224,0.004076944453782324,0.004827470258911082,0.0037926755571476784,0.003601660095921313,0.005290537122224947,0.004221160985154159,0.004321143662994455,0.004020062527938789,0.0036006863799045307,0.0036668354507072595,0.003654506445496841
Authoritymean,,,0.10292036830650207,0.0991597822337674,0.11054009921703098,0.11607175058676139,0.11167961296649284,0.11555891935076308,0.09959020120607276,0.10330263939313938,0.09369100278725383,0.10129628237001785,0.11887964294480508,0.09547984292034363,0.09838150011774249,0.0987730296101558,0.11286884837520902,0.1087118241069108,0.10557387725206367,0.10521017194987979,0.10099892985788432,0.09300019143362247,0.1054744077048203,0.10410317127485645,0.10720965042866124,0.10072701536802012,0.1001231666697512,0.10819317212067381,0.10434423404447087,0.10732725929314822,0.10669800915259779,0.10668309575382505,0.10722409175298471,0.10403038859509615,0.11160201511327596,0.10404587075860632,0.11181057703645712,0.10705659349225291,0.1077367722375632,0.10854034627622684,0.11440221819711886,0.1060294673136552,0.10116754949341095,0.10682926383633377,0.10465868607658696,0.11398000884187684,0.11428653634663713,0.10679480070503446,0.11724037055202276,0.11315929423330742,0.10151094332478833,0.10650940055781917,0.11682489458485762,0.10925517149905661,0.10837397817484097,0.10972803823062152,0.11568238029280413,0.09447438346617781,0.1006360356093844,0.09368252101421097,0.0990219869437443,0.10711481741333777,0.10407329357156936,0.09992788175238496,0.09839071788968666,0.10491978609441847,0.09176667813626277,0.1083374451369449,0.10861779619499011,0.10431860019545292,0.10972121864816672,0.10731155776235089,0.10135708986393671,0.10401174957212421,0.09872375334140904,0.10063281120100508,0.10496265591250077,0.11510515749436301,0.10561134520693477,0.11415932018817722,0.11395344495384768,0.09992785398860535,0.09749126692047332,0.08642405671131419,0.09188743882357041,0.09070491782123268,0.08358097300198267,0.09671692223649452,0.1168871640170585,0.10216802467288956,0.0994111179947301,0.09739369699850846,0.09130776173618409,0.10547460189170256,0.11338300679834062,0.1220432384883344,0.11222506267270102,0.10684285584427548,0.10654645727774423,0.11451120509961137,0.11540778928169904,0.09491785612153733,0.10189507067709389,0.0992076440611307,0.09816542172507547,0.09411150066519401,0.1279796306399994
Authorityse,,,0.0029256945153026603,0.0031393659546635924,0.0035026963001805493,0.003733441953589804,0.0034586757234698166,0.003823609707860272,0.0036691355833422036,0.003130673458419756,0.0037484630731894997,0.0034575247301889323,0.003378641751208289,0.003683916543377476,0.004213256285161455,0.003972061743747651,0.005228542074716066,0.0037387120341740125,0.0036624048665945368,0.004384862078692765,0.003772062668565937,0.003385252428956285,0.0034634502844808094,0.0035513504282749055,0.004092032998641683,0.004541242271970744,0.0037745616834256018,0.0038656131305156174,0.00282078721707246,0.003322639250655567,0.0030214470958555132,0.003520156769843095,0.0035776659132052205,0.003249956616813132,0.0026828093257301434,0.002978547147977637,0.002727990330992395,0.003375463127846955,0.0030013686737180986,0.0029481572278249523,0.003528528144700464,0.003475928079679551,0.0040687389712922555,0.0038882438653850713,0.0038099465145423447,0.0033398743470591597,0.003721698252351804,0.0031647632543821643,0.003231074254290358,0.0031436230264719925,0.002552470454731196,0.0027740678383692163,0.002348690950759392,0.0029954656665889495,0.002705071767694145,0.003173359852669488,0.0031191699344385515,0.0022148390207006262,0.0021068666107277837,0.0023064866694574027,0.003401394330027113,0.0034404697860105577,0.00352349491598231,0.0032578792981224434,0.003971203083050501,0.0039569380613180384,0.004093193623818933,0.0034482003384915,0.003325359719874889,0.003317833021866034,0.003869388581681351,0.0033895954949767545,0.003972160540166083,0.003842625865806317,0.0033603646952642553,0.0039768656357326865,0.0029149935759641148,0.003189009078107991,0.0032016538481302315,0.005095425447455411,0.004441633371531497,0.004217930809487613,0.003994851314944973,0.0042197379599579424,0.004555937033572298,0.00448625411038593,0.0038355331175811878,0.002983305563402293,0.003851995730217159,0.0036111187289782952,0.003978741756323585,0.004098336752857356,0.004846761618587953,0.003562230583956041,0.0041347876091948075,0.004431762343776555,0.004209728967672461,0.005653035297271153,0.004310991536388653,0.0037582743385953764,0.005044668516830066,0.004387109650657118,0.004552720390561976,0.00440471713943431,0.004285740213442825,0.0041488991268346705,0.004077998338674895
Puritymean,,,0.10334882701610949,0.09418192328970826,0.10695447212030185,0.09791128155148819,0.09766610150011099,0.09831545981153574,0.08420121943746567,0.09427473551234483,0.07885040416267562,0.07475920837579021,0.09325385228628619,0.0883720566254171,0.08691433831381094,0.08782639993136603,0.09115314279021056,0.10237942021600055,0.08338229853754758,0.09755524719990241,0.09837982559946068,0.09913646098401303,0.10074770648561418,0.08750054049635816,0.08822419251706949,0.08312854327883658,0.09699069939165007,0.10279196648683332,0.09750838583365903,0.09867201070648658,0.10482873360357614,0.10307179479721326,0.09677988307153106,0.09443384473663848,0.09575173871774298,0.09015217560066958,0.11103162212709274,0.10112183125169742,0.1062076311487698,0.10324095755620315,0.10074576275686131,0.10045929697459641,0.09675065781843886,0.0945730162307039,0.10074623035818372,0.10550766436512221,0.08428692218762004,0.08705462943326277,0.09898362949133616,0.09693859263722558,0.10160173146014977,0.10003805677208479,0.10130035550581262,0.09521288216118265,0.08877732748761774,0.09459679856083901,0.09579541599931307,0.08765588851019714,0.09219615117704705,0.0895383186877088,0.10131664344874267,0.09881408901374752,0.10177535587400936,0.08985646753364353,0.08815228310707024,0.09356128908197986,0.08937219296459402,0.08769003725892459,0.0909438641492092,0.0884122322443726,0.09690881700946394,0.08723602655658066,0.0885215055911736,0.09153108757013144,0.0860882180108673,0.08994678253296462,0.10029924085057354,0.10404562843365103,0.09680163058327572,0.10378935951957978,0.09020263477497248,0.0841241033509529,0.08105759563791222,0.0827943575585681,0.08359761569989585,0.08358022564827972,0.08321490761170797,0.10086087985644489,0.09943187895433156,0.10776969307630967,0.09176687583944432,0.09180248232283254,0.08343674977114345,0.08982262400959017,0.09163247323021934,0.08097431178257537,0.09043476137438979,0.08553557149926408,0.09833971328111629,0.11031102419901036,0.08632865185035407,0.09151167067233959,0.09873666269057803,0.093767998898213,0.08657418123569997,0.08641494538012146,0.11111807443218302
Purityse,,,0.0028934611183619664,0.003265432543675564,0.003331221458359223,0.0034624830477742764,0.003131047816910859,0.0035565712569448566,0.0037957762853750854,0.003171844746353442,0.003625302594350899,0.0033405144494945602,0.0034372357722873025,0.0034071503071731075,0.003910951823918015,0.003814655506485042,0.005485416401981857,0.003477830433418933,0.0037440577823190523,0.003881618145815434,0.00367663886943793,0.003205000781097946,0.003301054751491785,0.0034819438890217108,0.004169404421429118,0.0043960935369938975,0.003962840863906881,0.0036152182737804748,0.002725120225106338,0.0031333114507592773,0.003012660649796612,0.0032880301728563646,0.0033841030662391846,0.0031152547514842546,0.0028429983047411032,0.003057684008361677,0.00236014423530356,0.003350477827105534,0.0027589382642696403,0.0030252573266198244,0.0033360520053013543,0.003259357007097706,0.003967033829080929,0.003753919614591878,0.003816215474164064,0.003456442514934564,0.0040563178596333856,0.0035636598853480313,0.00328230427265034,0.0030835972518598073,0.002706955268886699,0.0030225245847228287,0.002290300571506745,0.002952359595512655,0.0029625198321236055,0.0031746368633418956,0.002849189550548169,0.002212700260027503,0.0022352081110582275,0.0022364974902944522,0.0037014851017847486,0.0036220081985318046,0.0032036313285514445,0.0032445233967316935,0.003555102115626605,0.003987465468068138,0.003920222678383741,0.004096031348255318,0.003656230034066826,0.0032647422278522177,0.003729807234936937,0.004064279278858662,0.003859650696925401,0.003777871779878351,0.0032835465544919858,0.0036528896260591176,0.002882643235551801,0.0034391519338153693,0.0030125333267877214,0.004731852561442474,0.0041733541553722955,0.0037599614293754944,0.003706739270996393,0.0038160401200538507,0.004266298478599177,0.004647784941522099,0.003857426356839099,0.0030685965323775707,0.004061108927628705,0.0038922757857923263,0.0038405360436210064,0.0037660924549887307,0.004217918852616294,0.003391008349302802,0.004557768618147131,0.004726279396824879,0.004828415404903781,0.005083545551176654,0.004827068803362987,0.004166270793821744,0.0053474803038204115,0.004418071025481878,0.004392195747077242,0.004254869946420201,0.003915911825799713,0.004029477317787517,0.00381948003313719
