,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Caremean,0.00840181115376898,0.008524693389465522,0.010560029526932807,0.010103797463675686,0.014460939263004001,0.016025188540207708,0.011275286226368236,0.011545022070615397,0.013015155230875531,0.009878917813679226,0.010736896244580222,0.014054582089055854,0.022914179904671338,0.013321016020098123,0.019881172463634064,0.009464212450799012,0.012472466247191453,0.014475881867058886,0.017070860241678518,0.012058334106962054,0.007448212028956918,0.008823185763127645,0.00818236098879681,0.010159563654637736,0.011101392496686756,0.00615417625558294,0.009313148020665442,0.010820885125288606,0.014524957975514629,0.01061813558778072,0.007330606782471264,0.007384106616903373,0.008763505878302017,0.01071578835016604,0.014857504212139445,0.022078939820762162,0.01197043160613314,0.012877172975782647,0.014250920990744419,0.009615725226860848,0.008966234012546422,0.008571763364286684,0.00877963436014245,0.008956730726692239,0.009057494772775664,0.008193974587112638,0.012736439609871843,0.009170245275999354,0.00595355103691782,0.006104203718883855,0.008936883229539524,0.010825448357300661,0.009595813523752396,0.013302252245435795,0.01114689163880014,0.009815006540792934,0.010793726440039415,0.011366198063856567,0.011032925530821927,0.011558731873071519,0.008262696740737508,0.009915981624416124,0.014574001448252443,0.011527026004320186,0.010109443250894759,0.013109347801692484,0.012661485699157435,0.01165438299333565,0.011022273182682235,0.009761869169197428,0.011016564760936785,0.00805574578782865,0.009736502099275538,0.01143135480973739,0.011221023059090986,0.012007836577251072,0.01319850852098029,0.010726845129547182,0.007247557298108367,0.013208313480509016,0.009092708836461306,0.013464183849341015,0.01090443409385978,0.009925237464327986,0.01026552601836402,0.009787390912204638,0.010854740051941368,0.009593864876017296,0.010379578881551155,0.009996449740070532,0.012575678318872558,0.014376595735284657,0.014018707323919717,0.010177954849096706,0.014796709261535835,0.011115821581714033,0.012819788359587091,0.016792657097861704,0.014016889521889108,0.011935487146025601,0.01358129715224792,0.012608207005966415,0.011222565134242031,0.012325440847512298,0.016555601190368634,0.01499463241060518,0.01158680703905017,
Carese,0.0006621605672210271,0.0007861846479165173,0.0011224505096662266,0.0010667804116044654,0.001117165102837118,0.001369122643645901,0.0008313148451294223,0.0009815788392718453,0.001308064918308989,0.0010024229564891659,0.0010643429300929862,0.0011975248755202344,0.0019633065372721037,0.0012304778615390701,0.0019342412439953115,0.0008781578516834486,0.0016021604110247687,0.001233308142409639,0.0012158704900991793,0.0013029246682600755,0.0007580843588125096,0.0009233086427000472,0.0009138387315883391,0.0008820269760007843,0.0010754458504954629,0.000615243170977502,0.0009726646043386226,0.0008854657233023128,0.0009408093976110323,0.0012201861010994574,0.0007181999219587285,0.000966634410035468,0.0012069688231106776,0.000949602036198886,0.0011424444613475217,0.0018644521888617263,0.0008373745379766297,0.0013008717278775973,0.001212227342552164,0.0008388868041442717,0.0009092352945760389,0.0009124502244908795,0.0009046742830937487,0.0008205577068715628,0.0008241412674414333,0.000685566698705981,0.0012541463786621579,0.0010101057215703205,0.0007193341719095367,0.0007621007520204837,0.000711320327234687,0.0007394107629204396,0.0009534354574721124,0.0015144808992713068,0.0008601804347308028,0.0008346801816686255,0.0008565583994838892,0.0005926616013274099,0.00046185882724902926,0.00044222840646660774,0.0009983624070060576,0.0014051500817297037,0.0016630457738840692,0.0010222821165404826,0.0010895694283125598,0.0013923232682377955,0.001132697351721965,0.0008780560011042008,0.0007701786824750349,0.0008701089951798345,0.0008995832596710025,0.0006764048868485575,0.0008799965459724388,0.0008533169354124834,0.0007004747639508379,0.0009885956525392552,0.000906250818757535,0.0011438446752543834,0.0005652047149505091,0.0010810048989335402,0.0007492649103803322,0.0011868503547206948,0.0008125216837401683,0.0010407802346915481,0.00092436672579491,0.0008197720231633116,0.0007686489707336065,0.0007410287697595199,0.0010029766143768394,0.0010080583818226747,0.0011360465529548763,0.0012367120463105577,0.0012239802248990423,0.0007316965962456138,0.0012225394379317865,0.0007494222858786342,0.00108760533792839,0.0011958343123242197,0.0015904269534448637,0.0006338186897478304,0.0038175972726324572,0.0017616385431231338,0.0015340097968650434,0.0013651914611334875,0.0012162885464769213,0.0011468604870522106,0.0012542452015389155,
Fairnessmean,0.003709199414220326,0.0023963599190690954,0.004063053188120685,0.0019140657380221269,0.00220876909115322,0.001865049426231454,0.0021660038697121024,0.0036836737105594595,0.002173409025264543,0.003140557213826676,0.001821949906121691,0.0023413069063794065,0.002487961262217392,0.0014738962657677478,0.0022376108842804667,0.002555901901174799,0.002310157669452281,0.0032514630932637782,0.003143492633040959,0.002581251743620848,0.0016434510087679369,0.001983968404412211,0.0017593658384220268,0.0012926325330882174,0.0025358895315633883,0.0020835848648076906,0.002825034023878515,0.0030053894288835756,0.002869736479063361,0.0020640299351600967,0.002215796677789669,0.003036280837875132,0.0036036747320100245,0.0028871899428972165,0.0023746184883744453,0.002758192051000188,0.0033355324149479506,0.001996944739338103,0.002300737296127162,0.00277193059793992,0.002688291201687312,0.0018537398762222637,0.0019107071776988476,0.002515836937666773,0.002692520780100779,0.0023755858715049814,0.0027787728045538455,0.0012146770813262523,0.0025046369673146322,0.003546216521514469,0.0029587126793479833,0.0027108734308579985,0.004254069703061594,0.0031746796641850287,0.003947570110252394,0.0021495120913866596,0.0027902992129671136,0.003017290218432146,0.0028690106698268537,0.0027863248503580272,0.002350682051138397,0.002232364260797059,0.0025219168924048786,0.0022251965333094418,0.0032012356467212965,0.0022725722516999856,0.002001788757833983,0.0023760721447842205,0.0021149904267029783,0.0034757595202948707,0.0028588955667423017,0.002343309549507403,0.0019098344238651773,0.0025855737685574333,0.0037281812702677102,0.0027135626185799434,0.0020347300739675207,0.0027028279219237306,0.0019780873445150453,0.0028652417276685493,0.0024174911224909145,0.00295403106627043,0.0021730752621937736,0.0019126682754559293,0.0023007121630186454,0.00224748741148019,0.0026305457407762587,0.0025031430747606796,0.0013837754654606924,0.002702010914021066,0.002451750742236867,0.0022554639947132125,0.0028850576373408306,0.006315658075540023,0.002789728675289682,0.001552780422043202,0.002231365227111255,0.0020039833484838333,0.002479404569981655,0.001912916258546973,0.0013235074247055119,0.0017238600853853136,0.002641602495863569,0.0017743471390001988,0.0019761553089198344,0.002094355139563196,0.002119744363447611,
Fairnessse,0.00045041584606160453,0.0003904541425838355,0.0005528900730890733,0.00033812292573798453,0.00041414760872276866,0.00026818471658134703,0.00032240739297706325,0.0005595325016371674,0.0003672249721346777,0.0004911927091093876,0.00040001789228199895,0.0003390343448733734,0.0003911693185075094,0.00029674898402577856,0.0004267962189236732,0.0004141430723731354,0.0005049025888699791,0.0005235716217703201,0.00047051635526030607,0.0004459477502849271,0.0002617212588126851,0.00034741890437916373,0.00028584980040790854,0.00022333038964547587,0.0004188828795235302,0.0004655279205401299,0.000580305800142878,0.00042726144738277575,0.00030299229842657547,0.000337547388966708,0.0003499994325020391,0.00053020444278061,0.0005890945781688919,0.0006085725069714127,0.00028763992821793975,0.00032927529939893313,0.00040809125071082235,0.0003608274150558376,0.00031311792104720104,0.0003917148092413786,0.0004031326955624999,0.0002173139628775576,0.00032635022065876263,0.0003110107832555257,0.00034792239686549616,0.0002589425178632925,0.00036859818854660995,0.000474449759583337,0.0006607450413457996,0.0011022678783337639,0.0003350713014912087,0.0003803586464075288,0.0007547534289309739,0.0005848426876059312,0.0005788741282271384,0.00029777836027371386,0.0003132199813741399,0.00026196931457129905,0.00018918632625718437,0.00020638085852930642,0.00046420739185863176,0.00036144178994605995,0.00039961790338360355,0.0003549549924187533,0.0004751401215309694,0.00029936633257962694,0.0002778508418213472,0.00035299310143511694,0.00026022212688274655,0.00039817076821009665,0.0004248992105120877,0.00027747022683625273,0.00027588578118754365,0.0004092770447405758,0.0003974718418160869,0.0005090883634405278,0.00030702116859811614,0.0004197971327967195,0.0002598643126515501,0.00033132360071508316,0.00032285857286115015,0.0004937610072299241,0.00030322015687088264,0.000279631746256896,0.000343578285989805,0.0003834412058406451,0.00031624414525750576,0.0003001712547376024,0.00021370020020864262,0.00034525346356036935,0.0003894696495781529,0.00030895383979838247,0.000454963304999357,0.0006771214186673564,0.000351823960240681,0.00023039456919005607,0.000282868589258972,0.00031170068689924873,0.0004157420427854712,0.00023537357833763775,0.0005511809084148421,0.00036170391462036225,0.0005049603300820742,0.00042255717398052367,0.0002864226832379161,0.0003469117912303978,0.00035387462190510587,
Ingroupmean,0.024238410135444158,0.02386201374060993,0.024472227523437376,0.02468200408011028,0.027432953073702446,0.032005677330042455,0.02391281452011505,0.026477965042256146,0.02081835223328686,0.02085760413607127,0.02010139528467804,0.024571097951241534,0.02286913967825565,0.01831852819474366,0.02621181759339365,0.019495585853358963,0.025878811299973645,0.026377701795695253,0.021951031139124746,0.0226170290857989,0.02197638284039041,0.02274048425011442,0.018299833804300107,0.021076845811661294,0.02553798390139421,0.02051449628026866,0.022280474972127564,0.027026157854914568,0.02667483216901211,0.02397617472340454,0.019217902320569403,0.02162276938998515,0.017598601365839083,0.02349968178633335,0.023555151315469466,0.023329400654890798,0.025994232644614847,0.019665746259231273,0.019976294894434744,0.019727079277631815,0.02465040204776528,0.021606481377164782,0.019108804275691494,0.019125849982670196,0.02280309230278571,0.01827963426660964,0.021707136658032953,0.025151958559309903,0.02385981711753363,0.022810510039594525,0.026851271389904913,0.022310978616689545,0.02537205220178736,0.02918804866278431,0.028961590261654124,0.02662849507055279,0.02470322432044475,0.028760724576174793,0.02733817274226583,0.027527900064178323,0.022120980300043797,0.023360987835394347,0.02051796909764836,0.02704010644112841,0.025996630922293137,0.023417087610345166,0.023456722524237295,0.023408001762006046,0.02413691595348191,0.022297917652705276,0.024082068534242638,0.02238204382984881,0.023490909770275334,0.021632430560248096,0.024954068915974525,0.02523954221336147,0.024835401013257458,0.026840410824786214,0.024005781069041877,0.020507514670715047,0.01903510237372343,0.021773151062213413,0.02019647648317308,0.019313301305602375,0.02098031936461394,0.01928714460022284,0.019564555163792203,0.018599693205786055,0.022412291463413406,0.023371282705913,0.02382287454492249,0.023424434972958565,0.02290697359276123,0.023911123614849376,0.02514049536129572,0.02308831827370518,0.027385344044161052,0.0401774633952646,0.030119646468792546,0.028662121792942537,0.02508046568658765,0.031097358764529175,0.02817633830234796,0.02491831632545798,0.022533844516683877,0.02142767758174147,0.02739988309736559,
Ingroupse,0.0016263968969928403,0.0018341715271330428,0.0018406390773787627,0.002148213508083218,0.001680114195519997,0.0018342957806784426,0.0013024162250828177,0.0016631166805100273,0.001581086593594501,0.0014562887535714793,0.0017410099683897063,0.0015802972167679372,0.00176576723994846,0.0012652158618941466,0.0016831188756611963,0.0015359164555265967,0.002166647092392566,0.0015611083051610536,0.0014675892185506678,0.0017089552001743964,0.0012782821661903782,0.0013225797922970302,0.0012479098694372463,0.001412280699094048,0.0019728853492612867,0.0014885870030395792,0.0017509684391201008,0.0016222802075216388,0.0013739906868309299,0.0021764362221551275,0.0010995500210166567,0.002020548702949533,0.0014550667542626264,0.001621128307326058,0.0014573530898577978,0.0014363089190020234,0.0014054190618889423,0.0012810153040406324,0.0011093237696858898,0.0011062839486568783,0.0016260951425453882,0.0009530421019380515,0.0011810220449759668,0.001113496004238196,0.0015078386090019993,0.0011051335532021298,0.0012031026247750125,0.002400736037179885,0.0019737979008709592,0.0018611119274719225,0.0013040802316446394,0.0012304009630655362,0.0017185715771949027,0.0017356731025071149,0.0015084471625734942,0.0014629355444973906,0.001101681239456031,0.0010173594288999876,0.0006854570848642368,0.0008354793019113241,0.0017170596441590073,0.00180685862501626,0.0014634232596028838,0.001722653187278055,0.0015905947008558136,0.0019836241059639752,0.0016472119694551817,0.0014380079322711026,0.0012336499359731812,0.0012934850477457134,0.0015097411613028558,0.0011419710819007198,0.001330012878810127,0.0012437080990362814,0.0012061461443412147,0.0015783187015881725,0.0012288390992646846,0.002257018508535931,0.0013981937269268172,0.0013248717522860581,0.0011119311762894065,0.0014009041008166056,0.0011905607856215006,0.0011137782222136999,0.0012488655199958578,0.0014697514649382834,0.0013082075093716263,0.0011349694199257,0.00147898212232221,0.001560463543593751,0.0013728758539894418,0.001719467982687579,0.0012656622421734806,0.0011860860405308584,0.0014833600320714175,0.0011608143665880486,0.0015349698236988177,0.0028710730009770687,0.002144607145371979,0.0011639174784018932,0.004009453921208981,0.003021525229236033,0.002085560997834426,0.0020910991396013495,0.0014361624194625985,0.0012897342804520436,0.0019394875772352702,
Authoritymean,0.015633744775660728,0.015565824195297135,0.016462748106302147,0.014877302686401745,0.019988007574031547,0.02242966857321956,0.022230481909055626,0.022301170600027086,0.016716535219518006,0.014941670041410459,0.017940864648758725,0.021076221503431324,0.022792947278722754,0.0236184571111242,0.02177347706434897,0.01928122449203293,0.023798607804379396,0.022970083168788888,0.02304639409366983,0.01651198477058044,0.019918853848098984,0.01842172260810171,0.017964891778350926,0.019150076296979866,0.019572592779511747,0.015291603328555859,0.016592060209328286,0.017363349108574767,0.014181528010120268,0.018817505103554833,0.021024610764017054,0.015780168893325834,0.015752179769049746,0.01896723937382976,0.018889560985601073,0.01684779668897479,0.020765336588472683,0.016545373133017058,0.016982474510435164,0.018720922617425438,0.02054962611088383,0.017399324240398795,0.0203439839821792,0.022900134138617,0.019596888908460914,0.022761927615463296,0.024402519554084904,0.019273876346125422,0.00948482538008257,0.010259279895805853,0.012093981738360229,0.016386056042394685,0.016502453567703534,0.01968761397701817,0.02033615582699028,0.015203495487434899,0.012753030716737362,0.013322517696432676,0.012199937556463274,0.012668624155529886,0.01586317130894731,0.015554860889610857,0.016317127263309895,0.01886274013864989,0.01755094252436925,0.01913705376436899,0.020332233337792417,0.01519508787785243,0.016566170599172012,0.01636047576684674,0.017783856790800554,0.020469892517549933,0.01598053056430742,0.016864484094010788,0.017938003584963374,0.017255732017468824,0.013599136340799588,0.01504955632366448,0.015468476730384357,0.019399195886025386,0.019538057420809867,0.01921092613935934,0.018901873453149736,0.01529016062059205,0.01769187043084774,0.01609052917008916,0.015715086694705737,0.017050398411636216,0.018355194528704405,0.015575054329954426,0.015192092056776893,0.01451221587655668,0.015151681625950965,0.015320353916931465,0.022779974967217186,0.021352420831889315,0.018164446341647274,0.019519419513897518,0.01611759486642274,0.01602528111096931,0.020535268293724394,0.015076546900510317,0.019647604841294613,0.0174155286871012,0.016242186117067875,0.01611470249852021,0.01603356277547471,
Authorityse,0.0009133547270841466,0.0012078599485554626,0.0012650928792885716,0.0011380356144918729,0.0015193882718231352,0.001794401264928406,0.0014840479315926503,0.0017539469306909953,0.0011270472929205114,0.0010408584083611407,0.0015549582486749734,0.0014965103375045217,0.001668016249994256,0.0014567821031280443,0.0012968046357291698,0.0014080416605864923,0.0019481578660822834,0.0014694996584140548,0.0014008177838442735,0.0011394244896823869,0.0011706662022372017,0.0011345899531795595,0.0010724457087852703,0.0012421416087649041,0.0015119492239226674,0.0007589042720117125,0.0011518086682748704,0.0012655910949264475,0.0008806169527132689,0.0019152084935657064,0.001440014283776356,0.0015377100076355641,0.0013341557379821427,0.0012672429613068382,0.001224143779977331,0.0009898956757674598,0.0013489625505755214,0.0011366470760343613,0.0009680981404934538,0.0010012537807397395,0.0016333471468782507,0.001026627440820264,0.0012988039789357615,0.0014207123824230272,0.001501259071895765,0.0011590796828316236,0.001913960015920852,0.0019473594825003236,0.001175356829110433,0.0011861713256962553,0.0008705765724511075,0.0010291996650488942,0.0012344847910434314,0.0012022178244237049,0.0010896779503810148,0.0010311097605752652,0.0007716278459624204,0.000546008093361535,0.00044383704237386357,0.00046112994327934256,0.0011432293764054135,0.0012347267940456372,0.001245776425818746,0.0014652373220886614,0.0012068890948064692,0.0011832970147733011,0.0027590025493210444,0.0010404077609730514,0.000957606132194345,0.0009596285379550912,0.0016993799764919667,0.0010106712456944124,0.0012144657904560193,0.0009789474129628588,0.0008887165368413818,0.001299709200058751,0.0009066653451195665,0.001329651098092954,0.0009834351825847127,0.001474373986737216,0.001216710943610754,0.001143648032249274,0.0011301567985693552,0.0010800564175146557,0.0012541408858197066,0.0010807706402009873,0.0009160731194340395,0.001126966378061601,0.0010623793993993324,0.0010809133882386261,0.0009706347159921629,0.0009600830434265736,0.001045546953185676,0.000990220900326343,0.0017527617821540406,0.0011374888846504888,0.0008673769064422393,0.001156628214169045,0.0014431976618181884,0.0007752949127603052,0.005205100068138587,0.0012176714618286355,0.0018943885807321008,0.001793131042080941,0.0010563506209985481,0.0010234479193585602,0.0013287264757296125,
Puritymean,0.004220187327211147,0.0034816865922319535,0.005414157538698768,0.0047950427878181365,0.005436319972419614,0.004666910430564476,0.004198207874246125,0.004373101925424123,0.005807475248257508,0.003633325306549854,0.0035835000395279914,0.0032616560849866617,0.003584603754037123,0.0046883423318330565,0.004662585625912611,0.004404256844193949,0.003225711897608206,0.0034513358644693683,0.003695608622537844,0.003015594829437054,0.00291850885904339,0.003237080970737506,0.002474922953575739,0.003158560170694989,0.003449333496965759,0.0029677898076981846,0.003374272375717821,0.004131112574371944,0.00428206452477069,0.0032454481147849226,0.003056142863822762,0.0027354593454997464,0.0026419943355276633,0.003464800920923341,0.0033547955788640923,0.004661719616494913,0.0029898461416449844,0.003640305866958705,0.003800803908727405,0.0036167686784152925,0.002639140644588573,0.003783091485751533,0.0021425216781450866,0.004235139767865465,0.003778266323404423,0.0032371850571697998,0.0038790273600101347,0.002914184033673494,0.0018295574708652282,0.0025142747779907286,0.0025876297756919036,0.0037714347371561544,0.0025376350189512064,0.003968529839476235,0.00310773803366782,0.0034653829737468925,0.00377922220765995,0.003014544286030259,0.00294580829583547,0.003442265070780849,0.0032241318227476156,0.0024383467533999033,0.0026143737814438048,0.002900796336915592,0.003359622570937702,0.0029284498148896125,0.0031324561267008907,0.002704135152275759,0.0031271175946498424,0.0034869155306969583,0.004297009086488848,0.003806745709460385,0.0034954080584198347,0.0031787534544805815,0.0030046035307901933,0.003062910139712659,0.00348551226377461,0.004092196703334884,0.0026833966418555776,0.0029205937545322,0.0030667686405710854,0.0031458810672861026,0.0033842147497679656,0.002635354217715729,0.003844963966230981,0.0033616318234269663,0.002550142429460817,0.003547194043932001,0.0028099845067542034,0.0042571336684548555,0.002996155224634367,0.002507462226673153,0.0037836410804605192,0.0038820022909628335,0.0027793217008877233,0.003285808455950796,0.003400589788165339,0.003728978415836413,0.004356917464272159,0.0033774445959263194,0.0030137548275145217,0.002769876863627997,0.0035917619442618685,0.0023146671658065424,0.0034239371492567738,0.0032832012146711046,0.0028855654759809995,
Purityse,0.0005290221811157841,0.0005642109880140649,0.0006326571782258174,0.0006362853365093991,0.0006516810953855923,0.0006243495102263387,0.0004626037875423394,0.0007098358295534506,0.0008978004552441069,0.0005177501136257353,0.0008847314186167691,0.00045367189836498245,0.0005115462731203979,0.000518707208863291,0.0005370951165226322,0.0006204461409933538,0.0004537440717189145,0.000518795020472905,0.0005052184012625408,0.0005312651839319335,0.0003893584921742013,0.00048109398136104764,0.0003651775665815023,0.0004763400451225414,0.00045757688199853395,0.0004882196738966732,0.0007193596961798262,0.0005244742477076875,0.00034878084977960105,0.0005723485145243447,0.0004354416369296144,0.000786303158719535,0.0005865053277561593,0.00047231719379791997,0.00043224372417196313,0.0005811214553679199,0.000403673105688303,0.00040577420404073425,0.00046258202158514167,0.0004365631535147033,0.00034710311072518507,0.00042999654506774,0.0003263704284748981,0.0004956348200878296,0.00046930423595852483,0.0003530949947863915,0.0004611032400172663,0.0005369063760407849,0.0003813085205511014,0.00042837330992910166,0.00037246802526544646,0.0004853027776072866,0.0003607242670252031,0.0006115803120719959,0.0003560762369195881,0.0003738177027541601,0.0006956607974071918,0.0002296524098143733,0.00018267563782276014,0.0002190238930758817,0.0005797861686563953,0.0004376780385768638,0.0005033491575178696,0.0004613956091743067,0.0004908400193573077,0.0004863228699773629,0.0004115348949915261,0.000362054527313589,0.0003633728054085847,0.00030735009284351436,0.0007536218669318615,0.0005834909343437298,0.000460170476325168,0.00038193595834898586,0.00034737819005880514,0.0003668915323631303,0.0004070332387066022,0.0005899320276663877,0.0003114945745710459,0.0004248077753889441,0.0003935839287219366,0.0004725921185683254,0.0005471079711894471,0.0004515925976506343,0.00039314976857679295,0.0005659045834376521,0.0004148094941421849,0.00037307259990981535,0.00041994088350331076,0.000599714894882341,0.0004899870513174582,0.0003814792653821109,0.00042880728061140473,0.0005453434091401139,0.0003646999560254175,0.00046764377397159965,0.0007002438445069428,0.0005666006305208673,0.0006476256447831425,0.0003344036862555616,0.001075166430632828,0.0004788216423631799,0.0008823326983065047,0.00035578098267181787,0.0005106011255007461,0.0004458626396440658,0.0004758116294499628,
