,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Caremean,,,0.009135510729656484,0.010769312746418734,0.013436648060048972,0.016821652130312247,0.01285352713445189,0.011351849538985355,0.01277394292366953,0.01211877047517972,0.011346870869781346,0.013667934559593116,0.021223384093700334,0.013731458827332786,0.013387704002161131,0.010376177645809502,0.01380738195520093,0.015237527147887888,0.014583029155504922,0.012874587774884106,0.00998902173689468,0.009542848445304447,0.009208580320412045,0.011324537608611329,0.011920645772011398,0.012126005564552409,0.010826488918529128,0.010112191404755116,0.010832022407618507,0.010383110343644617,0.007387498995155063,0.007521089526598255,0.007500899194890092,0.009005936886546996,0.014236828982532913,0.02008769038111659,0.009134884077150122,0.008617587761605712,0.00823209941840258,0.008105782909027496,0.007304408326375728,0.008673162035133514,0.011190686115812355,0.010083961784111254,0.008331160734838536,0.009429997503321144,0.01066749338339471,0.01138294691916219,0.0054169512629710335,0.007598638263761986,0.008429169646931014,0.009194145965104898,0.006734487309738322,0.010571494897750238,0.01001285540049952,0.010462279803585463,0.009031083969549259,0.009360950517695133,0.010801986212526413,0.010006279282107814,0.00807950684457309,0.009973958515631026,0.011185826070545364,0.01213799743205577,0.011197152658468969,0.0124742938332407,0.012279473787738186,0.012888588741166945,0.012051017933183814,0.010138801494669466,0.011690659631245832,0.010193109356361982,0.01117453782770023,0.012413011401356453,0.011018167581834753,0.011665663258819167,0.011733539917321035,0.009754778896651273,0.007904003584955565,0.015033209581548114,0.011032473351083219,0.013920094307725181,0.012154445275331428,0.009355796599761778,0.011363035821671095,0.009495280419863757,0.012754978604338229,0.009422345535846675,0.01091673070797982,0.014003585540331027,0.013189704140147899,0.014419258004968885,0.01106145077283549,0.010979481240084672,0.01585951784476531,0.015887906047671436,0.013838817024258338,0.010788900948836319,0.009988278711742857,0.009696748728908806,0.013327421767494076,0.014353456226605618,0.012103176691944084,0.01317904594834031,0.015801937654046114,0.014120874317455165,0.013730585939268694,
Carese,,,0.0005361273811964256,0.0006171067989470376,0.0007344094933724548,0.0010635336514816752,0.0007407431652636973,0.0006667249845152023,0.0006816211325499588,0.0006825141407192257,0.0006251540233678457,0.0007669570282516482,0.0011284469301289432,0.0007277136103060279,0.0008135093485364057,0.0006735945139625236,0.001002723505186015,0.0007309524260259812,0.0006988422449118792,0.0006654909877699155,0.0006871454558681101,0.0005174954170645074,0.0004481886775643371,0.0007172559369179181,0.0008064915790246619,0.000906240585461034,0.0006501169266591155,0.000651871866263416,0.0006597809857075443,0.0008025213377689328,0.0004581071783395584,0.0005972275211638276,0.0007244727257148928,0.0006741300805689798,0.0007715348430098921,0.0009170985855935505,0.0006037900558191113,0.0005887670623657103,0.0005319807819160368,0.0005536256659798239,0.0005287724702417131,0.0006330779352896921,0.0008701587938076928,0.0006592474823274566,0.0005648272197130528,0.000632676545341788,0.0008226257479487301,0.0008772472893958548,0.0004621706308342094,0.0006590092920976319,0.0005723055575682449,0.0005371458686879089,0.0005316043924078252,0.0007005352895664528,0.0005215259969213053,0.0007770852314539033,0.0006831645645764275,0.00047023569292688183,0.00048011581597040136,0.00047525642592813756,0.00046510311259976406,0.0006852583885675696,0.0006581675937218833,0.0006594103016393079,0.0006177821951657384,0.000855252933570097,0.0008345582289004204,0.0006538127961019972,0.0006266387245386908,0.0005226603535499392,0.0008298553933856895,0.0005708822204096507,0.0006514653682856489,0.0007389008084018284,0.0005866458718399129,0.0008348853153244309,0.000636219600226938,0.0006841445774908645,0.00046012253377191424,0.0008913076604324501,0.0008393910828400872,0.001002278213474868,0.0008097187088256326,0.0005974155153894988,0.000716836951902121,0.0006658402183404906,0.0008462028627641484,0.0006105714119845951,0.0006442622288453762,0.0009899494671345734,0.0007738517236437081,0.001050065202925272,0.0008192959347229905,0.0005240164653094509,0.0011142105354579861,0.0013230203090445671,0.0009876338973049948,0.0007538280758343433,0.0009032193329566352,0.0007974115539343389,0.0013857741458037703,0.0013137597048010138,0.0009533663945583844,0.0009950175892694778,0.0009360640335841095,0.0008450885362602455,0.000854701078692329,
Fairnessmean,,,0.00283638045375441,0.004005444182385886,0.0031173938346479133,0.0021940670454821407,0.003043617796106894,0.0036908822629387068,0.003964428542485721,0.0035352045331110368,0.003880503112890869,0.0031753096255866197,0.003376080439350638,0.003666113602776217,0.0038906574418771135,0.003657267773578266,0.0025738593141635246,0.0027542482554173296,0.0030780486062278634,0.002687862271325313,0.0028220992041016503,0.00234194962975811,0.0028022104352370186,0.002962397124099265,0.0034765885957593547,0.0028304967476631016,0.0031112266970582136,0.002287443884970102,0.002117877723730819,0.00218322470202616,0.001825836962788257,0.00273345867828916,0.004124909605417346,0.0030302099993482507,0.0018739721005036148,0.0018994334520844207,0.0018970977124370073,0.0013672590688289376,0.0017197903922157114,0.0021590244278837075,0.002395874099291912,0.0020044730482580006,0.0024785184037672257,0.0026205133444813697,0.002766181520172066,0.0028372296792765483,0.002606913005262891,0.0024328516472333353,0.0018828121745736533,0.0034753593128012553,0.0028688420033749205,0.0025596564436244002,0.002262027025744011,0.0033174553498104657,0.002908601724491718,0.0023981401213040727,0.0023752583107216774,0.00271999764559503,0.003565202500267552,0.0030799724738203894,0.0031603204572669195,0.003470167914424752,0.0032707958649835977,0.0031214628630315227,0.004322584049098009,0.0031630091609805484,0.0028097991878641114,0.0023967028145233027,0.003422429778459778,0.004111758126698171,0.003985823123448024,0.0037510687569107326,0.003260780289831621,0.0036623245385675888,0.004025215550930603,0.003670119831809653,0.002376980915922985,0.0037140346221855,0.0028559511657056096,0.0024324135431094043,0.0026970939256163355,0.0023469427722022937,0.0029019342470880177,0.0032926390646816858,0.0027718490029780053,0.004080711289809166,0.002378436779721919,0.0031039754720551638,0.0033128021690496273,0.003696135641701317,0.0029959029957274384,0.0030353796074133236,0.0042413060429565,0.0044357481057620525,0.003870055907819914,0.003632920856652146,0.003792237127837914,0.002853752231635509,0.004134688231096733,0.003907698148086923,0.00391485256290253,0.00301969842087749,0.004170592965900308,0.0034031449476910293,0.0030927072644180978,0.003220515639700175,0.002283671974541142,
Fairnessse,,,0.00026164159242948325,0.00038340445254496575,0.0003030386308303109,0.00023713835868290832,0.0003345820704740661,0.00038549549186556165,0.00039586960922337875,0.0002992834576457532,0.00042682601620293195,0.0003051803935300113,0.0003331619336536402,0.0003249835480744096,0.0004037945699991269,0.0003118310524727386,0.0003044213670011677,0.00026754884583109694,0.0002849476889916277,0.00028491263103314974,0.00027485299089934903,0.0002372510385982008,0.00027821202321500225,0.00024449075771819183,0.0003738036996843722,0.0002970650760341791,0.0003296117822204234,0.0002655643595121068,0.00018459764864952368,0.0002522275290758847,0.0001864290746478055,0.00032005232395321444,0.0006016932900689127,0.00031616630835394383,0.00017729862243834232,0.00021021700289973276,0.0001791101168354506,0.0001516256352810388,0.00017521326990202436,0.0002641387975422778,0.00031005164153680593,0.0003136475740841495,0.00033387759662963855,0.00041979968612988554,0.0002856023376645892,0.00023984886839233178,0.00031516651089316303,0.0003095933139374365,0.00023220081469979925,0.0003692625705819284,0.0002689006634219066,0.0002687990515828352,0.00023543817895374516,0.00033208093090654174,0.00024047660809116872,0.00023772058660683518,0.00024890998715772233,0.0001954379512849906,0.00025047689244265387,0.0002118035372477419,0.00026808208013335226,0.00034046182704402237,0.00026060539729181047,0.0002583087706522816,0.0004082911925655606,0.0003358378388515816,0.00023754618541791192,0.00032143639881491065,0.00033352319197704153,0.00038086046197953406,0.0003763308597772341,0.0003327118998507975,0.00042840058567010015,0.0004119604619212874,0.0003532177614778864,0.000566270338353625,0.00024646462627382496,0.0003325773931772356,0.00033114344389698975,0.0003954696410939018,0.00027496166071727874,0.00026691807722255967,0.0002828810029090367,0.0003484188400542863,0.00030397181473637726,0.0004359456472537582,0.00023225893949266256,0.0002948943727095361,0.0004303510151803937,0.00040840043141898496,0.00033232108295792363,0.0003700002850684164,0.00043539626294707276,0.0004089440250957185,0.00041484310260399504,0.0004211796318256558,0.00047307597041338137,0.0003363549661118132,0.0004993788765176203,0.00040851953953249175,0.0006967152464728559,0.00037407916463515255,0.0004753134223503439,0.00032618372306425795,0.0003801429507871809,0.00033283327257411306,0.00023677587731162788,
Ingroupmean,,,0.024456293256486312,0.022713559635117675,0.0340693045259735,0.03619313843506734,0.024263862329765382,0.022730817523813004,0.02303160891729792,0.022914616090419233,0.022656152919197755,0.021675780296418486,0.023484467047407486,0.0227064268751996,0.0217527444491225,0.017236153016023884,0.028858720971148603,0.026453217584535872,0.02110130955817351,0.024484442183441136,0.020160850990968822,0.023597898510878845,0.020643413050977572,0.020472947404972026,0.027452671026730775,0.024752496573698587,0.02108806164993949,0.02324685979137169,0.02202134213554094,0.021083226687421814,0.021406184711203445,0.015828457092062553,0.013287800525052702,0.020950556635742357,0.020283808008317052,0.024386654714599002,0.023599239202719967,0.02390351220404594,0.024439543494223597,0.01952977616664884,0.020941656894186766,0.016729518768854985,0.018845546196198486,0.02033882930890203,0.020676406196126856,0.019945602360031314,0.029343799808164678,0.03035363624518492,0.027132914352302653,0.021053235083614324,0.023506417115554044,0.019366484484896553,0.016543634194811467,0.022587562990103116,0.02223051740259922,0.019226970182792427,0.0200985175352637,0.022137965599398866,0.02607033543207937,0.024081493105628068,0.02133078702713743,0.023092951590303144,0.021748010005337638,0.022740105254874347,0.023291666650727724,0.02014902854362114,0.023999423604105556,0.02587504296094818,0.023624988816212653,0.024370102597171553,0.022116120286591517,0.02323644449905904,0.02665525048640248,0.02588641444610066,0.02804410303030544,0.028592357410537127,0.026911091849409128,0.02875015041557985,0.02538751293639418,0.021211198955520767,0.02175586304934068,0.021071347957796277,0.02193670457736912,0.024119561010232764,0.021926498390488124,0.02646098879537,0.023340174439552257,0.02027030459615362,0.022529690991474838,0.026561141077411657,0.02382976982595507,0.019956031974918433,0.023574675404213888,0.02403757154972962,0.024161674256552402,0.02183240319015376,0.021556114606907855,0.02773842870160326,0.023130924950762535,0.019351134474677897,0.02062906366273488,0.02247585097838783,0.02236787952039225,0.02453630312200283,0.02436687386308485,0.02550365034643721,0.03454676993671524,
Ingroupse,,,0.0009169689680423802,0.0009636464821081678,0.0013223153335559215,0.0012976093980972784,0.0011075055752422832,0.0010393402785562925,0.0009961797118480831,0.0009337158943106511,0.0010638921906225404,0.0009302331171014472,0.0011651772033974637,0.0009410989941710283,0.0011316304267013201,0.0007453622296552648,0.0017059475569795792,0.0010358332611898587,0.0008966155466815966,0.0011670361268032146,0.0008499158152276666,0.001109217264192348,0.0008981908562522829,0.0009523430928944843,0.0014800084023698014,0.0012223909185904052,0.0010588674889316775,0.001245097921074457,0.0008127612923045145,0.0009656131453030442,0.0008420666413001272,0.0009457454720422608,0.000927987294742481,0.001109716642909158,0.000858619063046943,0.0009915142313897064,0.001469327961079972,0.0011594568761553936,0.001168072361753014,0.0010897521342572124,0.001201117743000561,0.001018831685763851,0.0013135700238772656,0.0011908838524188861,0.0011448363293894111,0.0010560390994327885,0.0016186302541957762,0.0014652135065713623,0.0016980409742324192,0.001235009121897474,0.0011224933277034007,0.0009668981531173439,0.0008249323644174247,0.0010009942146704117,0.0010585921202570805,0.0010065690158393753,0.0010316600153765516,0.0006703651676738733,0.0006563058497411355,0.000788248996656053,0.0008866696974354115,0.0010030004914855647,0.0008277316257323007,0.0009514267499274508,0.0011800380267687732,0.0009025396189396992,0.0011841723132391911,0.0010565059897125468,0.0009321765892000406,0.0008646453341761805,0.0009152512792405772,0.0010759870961202685,0.0010238252493004318,0.0010101821804706693,0.0012131534017953496,0.00138689315563174,0.0010210210279893678,0.0014263345228428211,0.000990177916152643,0.0014206341660680574,0.0010369679915728542,0.001024583755012863,0.0010318844240602208,0.0010007647681779502,0.0010960192325888004,0.0014898216676691729,0.0010038971368300782,0.0009443411117246099,0.0011893573781701036,0.0012749016497540092,0.0012240844782657914,0.001027249801565826,0.0015698046512903768,0.0009661956807076727,0.0013519329992014379,0.0014477668291029923,0.0011941117230621582,0.0019600255530186983,0.001624629910515069,0.0012343173014190735,0.0013879641901145478,0.0012990862611703218,0.0011947674114433189,0.0012237010618910396,0.0010837489531802546,0.0011066614932227832,0.0012492207199852258,
Authoritymean,,,0.016801967502072676,0.018907962874186373,0.016358223033559063,0.016854432037602396,0.016337210921599968,0.01832509709136356,0.01668692197333413,0.017178931387312343,0.0166517931121406,0.019278407606865427,0.0211601789175764,0.01809643087983826,0.017332135615477504,0.014816949999101983,0.017898254644101812,0.015373448314823077,0.020675823485217064,0.01702262899294183,0.01721124162364883,0.016029455509056757,0.01744866768286274,0.017155281012481847,0.01791741059541553,0.013670599742958029,0.015204840284974687,0.01604074884270571,0.013045354401831924,0.01836586500456606,0.0194201322638769,0.019190883909913598,0.020229003298400605,0.021577821349364312,0.021760733144822113,0.01810288836084026,0.022431758278582327,0.020397215935867987,0.02094111040240006,0.01643676935865027,0.021088339563285444,0.023688480980010352,0.022348477587360287,0.023688094691899284,0.014080888769062057,0.015759472372091386,0.02258420139346586,0.02147453377905873,0.025916398515626698,0.021139849173749347,0.015952044729997422,0.01988483188187729,0.01686552416105994,0.022262617596760247,0.019144535987706907,0.016729391884099873,0.018635806783536043,0.01220277041224417,0.014303833411544254,0.012982770553045139,0.014838770551329726,0.015037215333510452,0.01823250265231926,0.017501389313365295,0.016699426274781878,0.017440324895496268,0.017330762820725362,0.014812660401740325,0.014430584299367295,0.01757230931516296,0.015862182874287534,0.017880564321771285,0.015285484942087717,0.017182186378687053,0.01667155305478248,0.013104988823271007,0.01242091612801245,0.013353156121057893,0.013396778913907672,0.013756662430117285,0.015048469622304108,0.01361160111753182,0.013770118410099615,0.012513744628263764,0.013374587645826386,0.01612332030359344,0.01463013907843313,0.012928650224458138,0.016644734754834235,0.013232171766118423,0.015636031003565854,0.014499905399615463,0.015193192880518668,0.01688092856248802,0.0191232327271063,0.02119628644233987,0.017324594116992737,0.01573770330972485,0.012569491303229912,0.015961322062301025,0.01570410692002696,0.015029853213001742,0.016469619747218278,0.015358851644458087,0.01660333161264159,0.01529428310807253,0.017012115492061428,
Authorityse,,,0.0007848989748068322,0.0009687241543259563,0.0008691071895696889,0.0007835524464272681,0.0007916675679990982,0.0008872265059114283,0.0008990260547506173,0.0008370673884898817,0.0008927175314251717,0.0010156504589501922,0.0010642618188180077,0.0009710101675878596,0.0010777557434579392,0.0008310796986217484,0.0010517123370267294,0.0007605060997296949,0.0008966576695031086,0.000914682563789596,0.0010282015221575807,0.0009193611588740377,0.0009112202592624902,0.0008036023519685507,0.00123274310433174,0.0012367094367823177,0.0008846080610335459,0.0011012162152050664,0.0005844477876085195,0.001068982358436725,0.001147273843124511,0.001124927680105858,0.001394297560346489,0.0012636497152958752,0.0010027948102827127,0.0008749669093598788,0.0015999507516320857,0.0015941393812960536,0.0016948854456800562,0.00116259770734422,0.0015486039257479806,0.0014223211727585614,0.0015206850455368622,0.0015595475291644782,0.0008529173424486218,0.0010491843124897013,0.001438396367673285,0.0012546018381837357,0.001583768695338809,0.0014363177591121237,0.000989964242561397,0.0011502705035572357,0.0008420390912832124,0.0012418857421896538,0.0009666374344970077,0.000982017114188177,0.0011650306372114185,0.0004914446680274452,0.0005187847480375838,0.0005127862357431297,0.0007797279854317136,0.0007549691146937733,0.0008248661016840833,0.000719037090403077,0.0008273606522685706,0.0008001933653305707,0.0007942535515112883,0.0006595432339028725,0.0007173638285822405,0.0008363103458305063,0.0006995362418356669,0.0009179929334223935,0.0009716890397162965,0.0009692809754677633,0.0008504151134851664,0.0009224955516333433,0.0006335923813000796,0.000716847010862464,0.000700575254938395,0.0009381919220971748,0.0009249144344592694,0.0007452823161239859,0.0008074829735020228,0.0006307828945660318,0.001008242917465664,0.0010127076376415303,0.0008190080790719183,0.0007935557994477993,0.0009286509445552076,0.0007866521642921571,0.0007658684904951532,0.0007526274011308539,0.0008405873123664773,0.00068276011914799,0.001154102408432122,0.0015193769044094952,0.0012430387072127488,0.0011900100256047796,0.0010592429730349633,0.0011353815824603046,0.0013553299081229837,0.0010416934445122124,0.000936914685264099,0.0008342163454214431,0.0010219224769782854,0.0008382135717842899,0.0007582130669239626,
Puritymean,,,0.004548348684345192,0.0037184514184803678,0.0038841905589976832,0.0031973824376848644,0.0041603112837388856,0.0046317949191933975,0.004968029835586959,0.004617970929866004,0.0037126003491885786,0.0038464693245594803,0.0034804497236622925,0.004335536959451107,0.0034677884097818416,0.002783267477544971,0.0032385905232302607,0.004309151600154112,0.004666674378007889,0.0043508996302361385,0.003563441480410523,0.003426460901622165,0.0037890826884863903,0.003641700797901678,0.003228407462468972,0.0032866915252303896,0.004526908200733195,0.003565545351260895,0.0030886862411771514,0.0031652767467044325,0.002879497765273895,0.0032556383697640652,0.0019432333165381413,0.003270825038747431,0.002858201981365524,0.0033222615845650075,0.0024557087444147347,0.0036509646236842566,0.0022094331620362466,0.0024859978157342217,0.0022508033026087714,0.0020689317246764846,0.002532526633859115,0.0033674046171319905,0.0033554350385723414,0.0030374652652500407,0.002817306921956224,0.0032173176651924965,0.0021880346410096674,0.0026063697241211856,0.003564334398837099,0.003284938099772747,0.0020718019835768127,0.0029640411534634648,0.002690605225004634,0.00306238630373835,0.0029452609892706735,0.003341005243668673,0.003460616850887018,0.003151785071813241,0.002901184484681274,0.003614109411808674,0.0033667171865179053,0.004141805699839569,0.0036770690302971114,0.005000332696122344,0.0034374756655197276,0.0042195949690390375,0.003696632876744572,0.0045802419397478825,0.004924240077787464,0.0034892999823893374,0.002780319619279189,0.0039514412775876265,0.003338558373064816,0.0032841869011070385,0.0034344944643572156,0.00397167202130244,0.0025030348130330184,0.001887475797636368,0.0029539918153823133,0.0032804399191771897,0.0030665478112435803,0.003391544773237799,0.0028534598768131473,0.003222924229056771,0.0035440612490715805,0.004182413313545761,0.003089389023308246,0.004235279386707706,0.0035875985320283402,0.00343121035458611,0.004096027461320889,0.0033783457279787264,0.003016872246173866,0.003163813284016816,0.002572124570613464,0.003495266116559701,0.0030622189622257685,0.004354471517880047,0.003760468338931223,0.0029233219788964092,0.004030087042402812,0.0038753241624076085,0.003020205849271178,0.002990511438358166,0.0034751816324185883,
Purityse,,,0.00043340823213742173,0.0003218020200115082,0.00044198300822691087,0.0002773492295938177,0.0003826419119185554,0.0005242744726581504,0.0005462762179920497,0.00037683511840592857,0.00037381987823051664,0.00033453562627351266,0.00035461140220508587,0.0004320086510270408,0.0003576043836269883,0.000275033181852503,0.00039955633113557384,0.0003966435275309227,0.0003879708637503971,0.0005584317060070474,0.0003510758094782021,0.0003206652213789089,0.0003935068443603194,0.0004143098632576908,0.00036470498617645526,0.000484075193145042,0.0004322676647104163,0.00040513919616712947,0.00022689815787790084,0.000332654882562473,0.0002960005073903868,0.00030350544184961064,0.0002579286554434091,0.00036048198192324655,0.00024054264387086667,0.00030691207296125635,0.00029697341237112587,0.00043967489509245434,0.00021415169561584606,0.0002672699310113311,0.0002594941837293176,0.00023706895598705292,0.0002909571069897632,0.0003879710696362985,0.00029425821069261346,0.00033649142258597583,0.00029883519751638444,0.00033110163626798056,0.00028094087308765293,0.00032442946819954483,0.00043564131054978517,0.0003061354045010804,0.00022343596801708377,0.0003109873132225636,0.00023157492663951096,0.0003478747314498976,0.0003086878112845469,0.00024353427289361445,0.00028045078196509816,0.00026610903078621136,0.0003299501962653791,0.00036776500276929015,0.0003218696875892137,0.00034103943120882674,0.00034617423604813295,0.00046341054147090596,0.00027122845898594337,0.00040084248285351406,0.00035337222220174373,0.0003443120928503886,0.0005860496941163642,0.0003103694378131545,0.00034610412783154225,0.00035410483278076616,0.0003137958330900541,0.00034983288236303285,0.00030744472835907453,0.00032213186795156795,0.0002279449298625797,0.0002886924704789369,0.00032618117642722405,0.00037117414306173715,0.00028949414376611994,0.00045835536982150293,0.0002586161526853386,0.0003181322836969602,0.0004097200072637054,0.0004603422848803513,0.00038250111342466234,0.0003934603941772762,0.000330467151197233,0.0003370486699537775,0.0007569902820888244,0.00030977491998005646,0.0002690527847984091,0.0004276377644915056,0.0003578440879368254,0.0004811476589193339,0.0005032433997691482,0.00047217205631924807,0.0006618417593852742,0.0003291453284745884,0.0005352068575568556,0.0004501735555416857,0.0003242088866355173,0.00025329851490515866,0.000288890818498068,
