,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
Caremean,-0.007744426009413966,-0.003348230856911816,0.008608215477652014,-0.010307792666679829,-0.014519523054439855,-0.00425751618328612,0.003624126053565194,-0.003632308456127782,-0.006487277205186405,0.00047087676376635404,0.00012162676465824368,0.008286892348789517,-0.0008395713593546271,0.01819237718050019,-0.014470774802296847,-0.01037165112408319,0.008554901436080571,-0.016924952949522475,0.003774789968008619,-0.004206124562410364,-0.009957674130092947,-0.0066490985466326705,-0.0007343449107741798,-0.008182238231801997,0.00044562957610778475,0.0008225149346293774,-0.009197788587890582,0.009366260885558642,0.0011728354803950199,-0.01105169135701981,0.006115947492580536,-0.018755902097375727,0.012741404859433269,0.00405216046265391,-0.013572097085656902,0.010673413448118875,0.007853393865551991,0.01254549463636488,0.004565083789832278,0.00673125166121884,-0.004633301328145294,-0.01068739375939247,0.0073434867432373785,0.009273275193258233,-0.0020210593265125106,0.009429369033111645,-0.0027032189581757534,-0.006876615010974016,-0.003675967944666648,0.004004765677528961,0.014048279889272233,-0.010580170369817586,0.004538976578503688,0.0032535245136350757,0.006676467827538592,-0.009747124086958249,-0.005086232452531246,0.006103884092918213,0.012037291079699147,-0.004274776054801236,-0.004721355199687707,-0.018284671913924026,0.0038839589572893826,0.008362013144141103,0.0037189341321837814,-0.0010880659741578226,-0.012575965581574103,-0.0069357199707682435,0.007746457896743908,0.006800582908293068,-0.01220852973508729,0.004670031570773981,0.002040518351703375,-0.002581346502908204,0.011595171729023458,0.006011771291373814,0.003286489842770463,-0.0170084837804527,0.011743168655177594,-0.00589941400302036,-0.0068158653199163755,0.000722917231970331,0.006780266709500931,-0.0008709930296092104,-0.009310878668668756,-0.01198680833914798,0.009794803748545305,0.005416525526691958,0.0014423236276135036,-0.0008056362341020536,0.012915385160254521,0.001183745143514589,0.010234037525389674,-0.014143815953929913,-0.005869945023622626,-0.0025924961252538174,-0.00899002238273909,0.003026650800437101,0.010818155632922152,0.012704785094910716,-0.009615596739300227,-0.011148812404836091,-0.004446889640605281,-0.00622765660188927,0.004034868669365625,0.0039683382842820155,0.00014836213347596804
Carese,0.018909184805678807,0.018936152384388928,0.006457502620094958,0.006869074833303255,0.006392129545417119,0.0062557771849443946,0.006864896709403698,0.005964236029985231,0.007850325637062016,0.00693599360437889,0.007341229211431357,0.005796862884978353,0.006287977714818071,0.0068307993453037745,0.009086774678582519,0.006842802922003562,0.010684449697450405,0.005437970475193519,0.005270526703760887,0.0065824548638142005,0.008130952867936433,0.006902034111612858,0.006100119228108226,0.006566977566626432,0.005967951831434207,0.005733213855882922,0.0059842338335476955,0.007786307904685651,0.005946487953371417,0.008229195821989707,0.006547821850170045,0.009006621909461464,0.008707158632805285,0.006985270565174054,0.006262523552404486,0.006015193792229081,0.00629420334366206,0.007383755537608188,0.006432547584101324,0.005731383104071139,0.006791475487812982,0.007312441202798698,0.007383662277012748,0.0065839673878852634,0.0059070614698962624,0.006751380478688283,0.006308256946569512,0.00808657440206218,0.00737790968150354,0.007595177109969075,0.007449681426090787,0.006542029156404749,0.006775946744400218,0.0055590405713798795,0.0057843034285056,0.005736759861544304,0.005419571794009938,0.005003599226496396,0.005730242008541895,0.005345515772599832,0.007655501155821383,0.006856296896382161,0.007155214512274932,0.008102556949646466,0.009358492728460194,0.0054251338532460116,0.006041911246104216,0.004708423344646689,0.006298239871188302,0.006152772860777791,0.00643442311059427,0.00608738899204742,0.006034804375183453,0.006278071294839003,0.0063080691183873,0.00767706157571343,0.006771760224062072,0.007972632053520775,0.008555932811045615,0.008192596007704065,0.007872358410163191,0.008283124207363265,0.007470587154511922,0.0075195710133370616,0.009205973644809061,0.006255438173820441,0.005557921688988667,0.0072908811363528074,0.007967805080678039,0.0076191757609187895,0.008293491640683059,0.007358431420131505,0.007543192930297565,0.006774670281390455,0.007105366902782027,0.0055539354706383385,0.006865058273486674,0.008543435776059042,0.008746376158968137,0.007009888675019029,0.01313616732798252,0.009613042751686153,0.013568188029780874,0.007888994307575605,0.0075222130498883355,0.007979858196447809,0.008572432463561678
Fairnessmean,0.030790905045513406,0.017565859390151633,0.011138897336245806,-0.00861981029691986,0.008178182857321144,0.012388122774633241,-0.003970607401346129,0.005379827062312695,0.000702866515947112,-0.010460597247918205,-0.008553421422148237,0.00808691263646665,-0.005239695963159897,0.0013190810546000725,-0.02391340789769166,-0.02292992396854016,0.007389003413330161,0.012516547482035642,0.010167374298204699,0.0022728730627585305,0.0110774015263251,-0.014479400876395153,-0.014767779682248827,0.007351411972282558,0.009090703172055065,0.00048127746098925334,0.011047469402399753,-0.02025986412243768,-0.004216463777374769,0.0019164064238029012,0.010082575335478763,0.027598530637378632,0.01012691689710942,-0.003375502389674039,-0.008875969819426635,0.013120274703988622,9.28552733286315e-05,-0.0074380969953943285,-0.019246544623084883,0.003052224753628848,-0.013793569612869082,-0.013162001178540638,-0.009142212734557602,-0.0075909139262027355,-0.004632209766458689,0.004637786481185613,0.019288812188965658,-0.0064993847918553135,-0.01124036066029455,-0.008882379427892585,0.02368673751599306,-0.0010220480114830125,-0.002803892827589234,-0.006005659255468216,0.0007268764894652303,-0.007741851995654321,-0.023796741516265166,-0.009097920379716918,0.0035489597269884815,-0.014510772465798637,0.0003065433620218878,-0.019928758034336632,-0.016456730278966686,0.00782898712061677,0.01928551096677174,-0.007517198222953148,-0.001833207736678979,0.002117792734724168,-0.0043724618787164896,-3.464452933674594e-05,-0.0218717005343107,0.000977759183111381,-0.010829390828676984,0.003394426055628063,0.004528217439856764,0.0004895365462433063,0.008274799170576564,0.004349829004735015,-0.007507711220669477,-0.0065868394946421065,-0.005463352103938316,0.004881543407342731,0.005624549083289397,-0.015835623688210614,-0.02959818184021733,-0.0222914370849495,0.011963793271533275,-0.0092492533747474,0.003728906341926239,0.018636258724667076,0.017474449307584145,0.016280959431827315,0.006347007662162846,0.003059491891106258,0.003379135406139349,-0.003809658782086476,0.01261320343031176,-0.013681517322088237,0.010265951077836557,0.0081565411076194,-0.006299886281109977,0.0011128262977800716,0.021417961549890088,-0.0013260897443823875,-0.024136930947797758,-0.012417046899017965,-0.0008279437921436324
Fairnessse,0.018097585567339147,0.04364758158094991,0.007552830488891925,0.008171439185915624,0.008317909631648473,0.011291574472106686,0.007251853535445699,0.011986586009804602,0.010486933155088715,0.00907877663632285,0.008007250452821652,0.01052622088444263,0.011278166296189997,0.009542156197798548,0.009217218643078038,0.008990054038852056,0.019444622205647098,0.00935224207574407,0.009437228373848694,0.01660261291407316,0.007921189606964757,0.010059490122532792,0.013341770752503108,0.009904203686987481,0.009334783214921639,0.009314056217789048,0.011551070687214067,0.01264324058037643,0.00850658529278909,0.010451407254018668,0.009143483594511894,0.014608306820306454,0.011351221781048453,0.012651646352368831,0.007864995003075604,0.011715484100317239,0.009982859073842047,0.009156415783218045,0.0086359272268004,0.008332741813089517,0.007953567390115077,0.009257334877502268,0.008865437159184076,0.008790678162366866,0.007799097063820646,0.00845438554336939,0.008840754033992483,0.009876935423843589,0.009252771547220833,0.009027587035330005,0.01175789365523783,0.011950078718911402,0.010101894881232223,0.009587533825662582,0.007891246332871596,0.008241135334710815,0.007604975129415592,0.006539372863600183,0.007345527277854531,0.007443272360409252,0.009089481501718783,0.011268853180892354,0.008117130491588563,0.008730077942706721,0.008781811915475043,0.008051483838239634,0.00943214429420729,0.008914687199299819,0.008562331288435093,0.007977012123864157,0.005728589678413876,0.009767571847184292,0.009959516729334395,0.009938870019063187,0.008337047398434208,0.015057457096735232,0.008390001795208905,0.0114385007293092,0.010089971470199228,0.01173280387592579,0.009924777940912795,0.012410374709241294,0.010527851409152696,0.00916971210296485,0.009257884207361181,0.009300369388492253,0.010684597787843121,0.008677370172626882,0.00899489591537345,0.009732349115225896,0.010040650596652169,0.010467325285649661,0.012809801162705586,0.00986572893923859,0.011134920171074928,0.009923392452280301,0.011505168565070261,0.012756186638915227,0.014150167007997204,0.009371614568599338,0.024986031058841188,0.015137239275914219,0.016386749851576413,0.011450280989035493,0.010713072406799914,0.015140632059356304,0.016009811785009487
Ingroupmean,-0.0005058141491043986,0.031644756507075524,0.0007407828389877553,-0.0017607042786559495,-0.01242564126025484,-0.0013930839077286156,0.004947862691842084,0.011376743841516735,0.013303000455332134,-0.005555005958457054,0.008158870378497038,0.0027926581859484432,0.0009221168461840095,0.01439406127216428,0.005143544731517644,-0.012201978274874424,-0.0065008679204018585,-0.0028107734228600125,0.004488529561485293,0.0008011492469728391,-0.007630804352583037,-0.007554994405378388,-0.0026165177080283734,0.009709020768263741,-0.008481236924247565,0.0016191966602310628,0.0068022314184234545,-0.0036747500148390268,-0.007303922527202005,-0.002035212999246811,0.013111734137935632,0.002245643814803997,0.004106042352233876,-0.0030468680280756064,0.0005823324733040224,0.0028517805298027285,0.00358335754757927,0.008768281644248768,-0.003247386183249981,-0.00021700889704650067,0.004875861117384462,-0.01652397750509843,-0.0059795011763457695,0.0033434370190007588,-0.0070263423483746795,-0.001044693536966567,0.002850570845471201,-0.012442283234869867,-0.006882832022230583,-0.005616502540936535,-0.005233624682952565,-0.009620997412533553,-0.0005007551822565024,-0.00774329045270641,0.0028992696614568783,-0.010574242669604331,-0.008782278032375971,0.0010067997398059084,0.0047913345220513244,0.005842925331354719,0.008956467946647739,-0.008898123039506848,0.0007972634859393435,0.006453270060291622,0.008571277992431467,-0.0062806922029062925,-0.005423162389087136,-0.009156873323914716,-0.001300491321554059,-0.002289001875153056,-0.00459538384786059,0.004106828206839727,-0.00430072785727077,0.017456737309695936,0.002190116938745353,-0.0024218927822333074,0.008521154224228514,-0.00017978808152115805,-0.0005323662038219766,0.012160650888875345,-0.007051629242213099,0.004723012838536935,0.0029821642208339373,-0.003909971227283735,-0.010551308716930245,-0.011899762102196681,0.007646761033050708,0.005033235247717052,0.0015565661680319017,-0.0013531319989841051,-0.01402039475668556,-0.0016420131789419371,-0.0031406558298512403,-0.003928809610424043,0.006261621851652346,0.0061944086400075125,-0.0012938054975501273,0.0078026322809478296,0.014984402186546206,-0.003433993071281623,0.0030694003328541196,0.004333984557121833,0.017313719584416406,0.006514351162335892,-0.009445146446320121,0.0009362133102888085,0.009769429267865264
Ingroupse,0.01612252117249148,0.01749119235998176,0.005970797098077965,0.004702415885397027,0.006465964140740085,0.006130707056968044,0.005276840060794605,0.00639874930052015,0.007159978445945648,0.00515447996178404,0.006345683314609723,0.005905180799760467,0.006505150860886214,0.005787930103166144,0.008638958972164134,0.00763146973486754,0.01011866256071174,0.0069931743339178044,0.006103758401789165,0.00793891793060424,0.006862047102161729,0.0062250092517776405,0.006754234920857693,0.006059229225566363,0.006150278992579967,0.005813977637492909,0.006769648790413619,0.00672902362439008,0.00472741847605804,0.00699706318161187,0.006108097338497312,0.008029494671562392,0.006110269820800865,0.0074085879844261425,0.006371757389965067,0.005800514269956197,0.0064041548854121555,0.006807608768474958,0.00564514110728738,0.004737874504512059,0.006539308404791086,0.006472465771128661,0.005901414036271037,0.005297916429390557,0.006062922267875971,0.005441355213433315,0.006310125201720166,0.007776076064204731,0.007328731504943358,0.006166579865640866,0.006403545718774848,0.006735036983478741,0.006494870848603583,0.0054239937710755725,0.005338970129402494,0.004953942952346837,0.00646115160142984,0.005908418751749465,0.005628144836142066,0.004463353265133858,0.005972761936161651,0.005996637079577053,0.006316753740675382,0.0065539243929036,0.007008109815604858,0.0053824231925875534,0.005192310603007223,0.005246607865387966,0.005549182182570614,0.0048846007786059326,0.006061119489622272,0.004924098796142172,0.005914365861332031,0.0059552005617767995,0.006124955147538577,0.007039076617906598,0.007052633492900617,0.005769323741880232,0.006893438448662735,0.007889251733749504,0.007988718239698316,0.0066760836838213634,0.0072554632153556215,0.0068527984790037605,0.008241784147618983,0.007163745724097943,0.004566336895623695,0.006069956135261226,0.008506032394755258,0.006393231821298136,0.0069110765276003535,0.0064280804319592965,0.0073737315826885854,0.006282048327775855,0.005829802056321636,0.005633954071248456,0.006966358537191483,0.007548896668115271,0.008235372227656752,0.005537351474248248,0.01304758356647914,0.009059735536921194,0.01212753223446677,0.0067428468930648446,0.007121444090474522,0.008306104278412454,0.007584729336164291
Authoritymean,-0.013989099012284342,-0.007438947825911269,0.007203277433678685,0.008445251066344826,-0.0066364465010342,-0.011025572172458224,0.009705423516770683,-0.00369544625030683,0.0070776274681570005,-0.0004166870128385468,-0.005507894942491443,0.0014583576692321553,0.015136523073877622,0.006321251179923179,-0.00766754073161704,-0.020728013580476427,0.003915473092099305,-0.006304192308567158,0.006363183541528685,-0.009651481454070649,-0.00015219133604006527,-0.017793860760588222,0.003336494890001831,0.008364194615630519,0.005388993482702295,0.0007060185901431813,-0.011480036476143015,0.0065673596838343425,0.00014467474095578497,-0.0025094120040053893,0.007915035636537776,0.0049982872901572165,0.0020581877623331414,0.008684044429439158,-0.007047986800056722,-0.0007435153166689422,0.002257293048342201,0.004376518179292699,0.0036653627169830685,-0.0025668960033295813,-0.0038998224247808345,-0.011112687852557472,0.00746639378152927,0.01002104103883234,0.006688839983016216,-0.007332567876097376,-0.005126837635592841,0.0006072865700868777,-0.0012446258268568032,-0.005431559283022121,0.001588018955186045,-0.01015462428598185,-0.00010747880447474998,-0.014870927461360402,0.00974826692799762,-0.0010526160995051282,-0.006503172519490897,0.00391220727001889,-0.005161360288882767,0.0016638041468597941,-0.0001795072965567545,-0.006802604523565798,0.0023006499524078233,0.005560505075215091,-0.0015095367900990321,0.001630904168548779,0.009257781340216783,-0.0036121711098094688,0.0003633896807088659,0.0005413443152477207,-0.007003486830978008,0.004461189427724747,-0.003066491068652911,0.005896230177314356,0.00968848803101302,0.008479657412951204,-0.004031243316741413,0.0008946681280370734,-0.009685916389899116,0.006014349194139675,-0.010425849071460835,0.00977228926283619,0.01174937717476877,-0.003994319873750521,0.0010591635476343477,-0.015130868653742557,0.005984973740262646,-0.005186161142676579,0.017309118180469707,-0.003511283060396173,0.008458636676885673,0.003563033045761712,-0.016557082550994428,-0.01310695688436723,-0.0027622006680020354,-0.007644430723389608,-0.002093409941497463,-0.0014086921281315128,0.0075058791990052455,-0.0006472070114068629,0.0036269847689481003,0.009203302047392576,-0.00761865809507916,-0.0009797866287895112,-0.00012863836105249217,0.012574112216979768,0.0023647639838064146
Authorityse,0.01436105940284639,0.016502371499184067,0.0054625695693078105,0.005635627295801005,0.004889082429295868,0.005486681779352719,0.005241011241693629,0.005057995315920565,0.006176762721538324,0.00506149926853737,0.006224117945841802,0.00579471769062902,0.005791887804665918,0.005752504980234516,0.006586222728068782,0.005915338003879509,0.007565816156902531,0.005628512402593156,0.005542764370223696,0.006587332811605242,0.0051759512812764984,0.004796641707394704,0.0056687495765220365,0.006420571581590306,0.005791273040984287,0.005829777639943179,0.006530372073132523,0.005341274783280748,0.004671095178898908,0.0060131171598804935,0.00602432122582485,0.007496569461826486,0.006466748204330274,0.006592295124951426,0.005877696060495764,0.005683665761352776,0.006711225121875558,0.005200508011055331,0.00564397268626257,0.0056472429033261355,0.006782808640361566,0.0063245897246953005,0.006461350468648304,0.00571739459437163,0.006240780439451182,0.005991627134442848,0.005164779292676084,0.006728896676180933,0.005594620780919535,0.00636994368925244,0.005814160994666842,0.006173013389751249,0.006042546707085902,0.005064800848105172,0.005466935739856192,0.0053776259610000265,0.00463047411056828,0.004791289983935122,0.004677968615047717,0.0046300991692637865,0.006165810676181347,0.00564534647831945,0.004979838560221156,0.006319906055882173,0.006716623112508659,0.005036860209478297,0.005511665386198002,0.005518028754927612,0.0055105902245143785,0.005221646180935228,0.004796402561156129,0.0054426620821092,0.005139371452611682,0.005822658942759157,0.005682747665783049,0.006813271466613052,0.005853694524733994,0.006729390971011686,0.006159880687211675,0.00750220252177071,0.00665360210849523,0.0071811404784629,0.006387550780944929,0.006035142908420448,0.00883646502587318,0.006460948828534438,0.00488261311926426,0.00599273769328365,0.007134887319817447,0.006466669740878162,0.006513777162329311,0.006432779609440618,0.006322224092687013,0.00557833148566762,0.006180291635903794,0.005357199401887041,0.0071433718609589135,0.007559178349662814,0.008044238544420722,0.005556352595520977,0.011151672200261788,0.008210289320837083,0.009322728220729938,0.007879948372665643,0.0065496561639499405,0.00726508653812073,0.007305601996484426
Puritymean,-0.0058048668406361775,0.015621971909783462,-0.007615044218318601,0.012616892437025712,-0.015386898120393615,-0.0064679490851513284,0.005161474438090733,-0.011694238365353469,-0.020873435702801535,0.0061314470695744945,-0.014414539198996771,0.003647240473223794,-0.0004541944081439436,0.019830881201216326,-0.017147137663530994,-0.019345457280973852,0.02065677388664063,0.0024304246629133102,0.011613960684917395,-0.004569583104390373,-0.007932741781565788,-0.0013099931368380582,0.005573023745943908,-0.005946008014001922,-0.001268711338710973,-0.006245599382853296,0.006301278837363326,0.006301812364555261,-0.0018692759571994674,0.0013257484847609274,0.023846225677462068,-0.0004438655263547724,-0.0018737396640408526,0.017651688706095278,-0.02782061706264915,0.0024863897095840923,-0.0025935557954766455,-0.006744451538466425,-0.0009245830379409533,0.011658900983516348,-0.023090175169738422,-0.01577687656216819,0.013911044203586161,-0.009030464180180147,-0.005001417332429014,-0.017644377674680488,0.0004552755969821704,-0.0018683371066759932,-0.013214584235007938,-0.0033246508242796946,0.012407940050376494,-0.003070044882716993,0.02640358816947499,0.006198753904292427,0.016050388377851783,-0.004548247522045178,-0.005637153166610116,-0.0005877553587357142,0.006756315351752974,-0.007910402296931934,0.016369494588447612,0.013494216837824166,-0.0066568135066153635,0.015527861475137718,0.0038681033935021336,0.01318754715043003,0.013293469923948618,0.01757469779639429,-0.0017543472229789372,0.0017556007972991698,-0.007475495530644485,0.007108433736618622,-0.005602730819633951,0.0063439602395974695,0.0059499373187713546,0.01900867616292577,-0.02302989705611444,-0.00842471931519548,0.0031005143028365895,-0.006476343910863711,-0.018252306476550587,-0.0008134367502960672,0.005394019660577442,-0.004247290718230605,-0.01848890072463379,-0.008346758756637124,-0.006206412828384195,-0.0013910344274057275,0.00918935511426323,-0.005073572848043004,0.003604759452141046,0.009582033257762601,-0.004877191994914233,-0.00034664715361983235,-0.008539044455308167,-0.021145955032616348,-0.004236762291149226,0.015753151825859523,0.0033521365185275654,0.0010070263259733582,0.003742168899044418,-0.018280346369743357,0.0010807062102958932,0.003463219422261574,-0.037188897312637394,0.006852593631887982,-0.012105117081711027
Purityse,0.019747853706546612,0.033232934318428956,0.006874809896035943,0.0076320197881138965,0.009123864180442512,0.009635040573096769,0.007136345984313528,0.007427853909996484,0.007701156595969363,0.006752110540648464,0.008530653659005035,0.01155037722659754,0.009382870387510612,0.010912859423478924,0.012464162908086619,0.012458420115262072,0.019133649082312375,0.009366877290681953,0.009158616136322403,0.013438701745437757,0.011971777357568252,0.008374010937641136,0.008206527952496007,0.010084326397509459,0.009362278990241557,0.011881836318412269,0.01217916726050444,0.010957177019676941,0.006425300722202779,0.011420599781133158,0.011698714287076906,0.01330928622740674,0.015779286537391236,0.006411694530079543,0.008161740619763849,0.007108242308936595,0.008431473189222737,0.009079542055868969,0.009127693270667701,0.0071600986681757345,0.009966298430095884,0.006240686164524,0.009892282569959178,0.008814309627286857,0.007847262527672514,0.008168100482463268,0.00957767998713077,0.011128625238983298,0.010529448158881346,0.010545597421523473,0.008966651031022963,0.00722888730031415,0.008297123978890819,0.008285452545699448,0.0066810273110745255,0.0076177960081457,0.0087779930347401,0.006493419455738121,0.00704839862233863,0.007283878011418371,0.009929216940165901,0.008290850479283844,0.009380974620706152,0.010891862557743905,0.01011089852094379,0.007924206670716983,0.010668920004504607,0.007250726084187096,0.009874744027896218,0.0069195606868521055,0.008159713372784608,0.006885868182120513,0.007874277596322718,0.007735411376860214,0.00920766851051842,0.012156221179164504,0.01100850729592353,0.01004791638543963,0.007665977466730689,0.01607569908322871,0.012787683983405872,0.014116976936723575,0.014186860272033327,0.011166210885554875,0.013088701128296182,0.011156155510486132,0.008262601401465163,0.008680073208081857,0.012529529248926531,0.011040942692275228,0.011598935715789306,0.009570443571481905,0.010399973161011567,0.008636158888697459,0.011099118303590122,0.01123079857450048,0.015537367315284814,0.01809879658515154,0.014453829067607343,0.006916751309842122,0.016707831565056064,0.01844591846489712,0.013864586295234483,0.011504892219760797,0.008016081586360786,0.013812715135658998,0.011030929201136422
